all_knowledge,,,,,,,
_id,question_type,act,answers,question,labels,new answers,
"{'model_id': {'article_type': '주주총회', 'subtitle': '주주총회 소집'}, 'q_num': 'q1'}",MC,상법 제365조,"['정기주주총회를 개최하지 않음 상법 제365조는 매년 1회 일정한 시기에 정기 주총을 소집하도록 하고 있습니다.', '정기주주총회를 개최함  상법 제365조는 매년 1회 일정한 시기에 정기 주총을 소집하도록 하고 있습니다.', '정기주주총회 개최에 대해 명시안됨 상법 제365조는 매년 1회 일정한 시기에 정기 주총을 소집하도록 하고 있습니다. 만약 연 2회 이상의 결산기를 정한 회사는 매기에 총회를 소집하여야 합니다.']",정기주주총회를 개최하는가?,"['YES', 'N/D', 'NO']","1) YES : 상법 제365조는 매년 1회 일정한 시기에 정기 주주총회를 소집하여야 함을 규정하고 있습니다. 귀사의 정관을 검토한 결과, 정기 주주총회의 소집에 관한 규정이 포함되어 있습니다. 

2) N/D : 상법 제365조는 매년 1회 일정한 시기에 정기 주주총회를 소집하여야 함을 규정하고 있습니다. 귀사의 정관을 검토한 결과, 정기 주주총회의 소집에 관한 규정이 누락되어 있습니다. 정관에 정기 주주총회의 소집에 관한 규정을 명시하시기 바랍니다. 일반적인 주주총회의 소집에 관한 규정은 다음과 같습니다.

ex. 제00조	(주주총회의 소집)
① 이 회사는 사업연도 말일의 다음 날부터 3월 이내에 정기주주총회를 소집하고, 필요에 따라 임시주주총회를 수시로 소집한다.
② 대표이사는 이사회 결의를 통하여 총회를 소집한다. 다만 법령에 다른 규정이 있는 경우는 제외한다.
③ 대표이사의 유고시 이사회의 결의를 통하여 정한 이사가 총회를 소집한다.

3) NO : 상법 제365조는 매년 1회 일정한 시기에 정기 주주총회를 소집하도록 하고 있습니다. 귀사의 정관을 검토한 결과, 정기 주주총회를 소집하지 않는 것으로 규정되어 있습니다. 정관에 정기 주주총회의 소집에 관한 규정을 명시하시기 바랍니다.",
"{'model_id': {'article_type': '주주총회', 'subtitle': '주주총회 소집'}, 'q_num': 'q2'}",MC,상법 제365조 제3항,"['임시주주총회를 개최하지 않음 상법 제365조 제3항은 필요한 경우 수시로 임시총회를 소집할 수 있도록 규정하고 있습니다.', '임시주주총회를 개최함 상법 제365조 제3항은 필요한 경우 수시로 임시총회를 소집할 수 있도록 규정하고 있습니다.', '임시주주총회 개최에 대해 명시안됨 상법 제365조 제3항은 필요한 경우 수시로 임시총회를 소집할 수 있도록 규정하고 있습니다.']",임시주주총회를 개최하는가?,"['YES', 'NO', 'N/D']","1) YES: 상법 제365조 제3항은 필요한 경우 수시로 임시총회를 소집할 수 있도록 규정하고 있습니다. 귀사의 정관을 검토한 결과, 임시주주총회 개최에 관한 규정이 포함되어 있습니다. 

2) NO: 상법 제365조 제3항은 필요한 경우 수시로 임시총회를 소집할 수 있도록 규정하고 있습니다. 귀사의 정관은 임시주주총회를 개최하지 않는다고 정하고 있습니다. 임시주주총회를 개최하지 않는다고 해서 위법한 것은 아니지만 필요한 경우에도 이를 개최할 수 없도록 정한 정관은 위법의 소지가 있으므로 필요한 경우 임시주주총회를 소집할 수 있도록 정관을 변경하시기 바랍니다.

3) N/D: 귀사의 정관은 임시주주총회에 대해 규정하고 있지 않습니다. 상법 제365조 제3항은 필요한 경우 수시로 임시총회를 소집할 수 있도록 규정하고 있으므로 정관에 규정이 없더라도 임시주주총회를 소집할 수 있습니다. 또한 임시주주총회 개최에 관한 사항은 정관에 반드시 포함되어야 하는 사항은 아니므로 현재 정관은 적법합니다.",
"{'model_id': {'article_type': '주주총회', 'subtitle': '주주총회 소집통지'}, 'q_num': 'q1'}",MC,상법 제542조의4 및 동법 시행령 제31조,"['소집통지 명시안됨  소집통지에 대한 공고가 명시되어야 합니다. (상법 제542조의4)', '일간신문 혹은 전자공시시스템으로 갈음할 수 있도록 소집통지함  1% 이하의 주주에 대한 소집통지 생략 방법으로, 상장회사만 가능합니다. 또한, 2주보다 짧은 기간을 정할 수는 없습니다. 또한, 일간신문의 경우 일간신문에 각각 2회 이상 공고가 필요합니다. (상법 제542조의4) 단, 비상장회사인 경우 위법합니다.']",소집통지를 일간신문 혹은 전자공시시스템으로 갈음할 수 있는가?,"['YES', 'N/D']","1) YES (상장회사인 경우) : 상법 제542조의4 제1항에 따라, 상장회사가 주주총회를 소집하는 경우 1% 이하의 주식을 소유하는 주주에게는 정관으로 정하는 바에 따라 주주총회일의 2주 전에 주주총회를 소집하는 뜻과 회의의 목적사항을 둘 이상의 일간신문에 각각 2회 이상 공고하거나 전자공시시스템으로 공고함으로써 주주총회의 소집통지를 갈음할 수 있습니다. 귀사의 정관에는 이에 관한 규정이 포함되어 있습니다. 단, 귀사가 상장회사에 해당하는 경우가 아니라면, 1% 이하의 주식을 소유하는 주주에 대해서는 일간신문 혹은 전자공시시스템으로 공고함으로써 주주총회의 소집통지를 갈음할 수 없습니다.

2) N/D : 상법 제542조의4 제1항에 따라, 상장회사가 주주총회를 소집하는 경우 1% 이하의 주식을 소유하는 주주에게는 정관으로 정하는 바에 따라 주주총회일의 2주 전에 주주총회를 소집하는 뜻과 회의의 목적사항을 둘 이상의 일간신문에 각각 2회 이상 공고하거나 전자공시시스템으로 공고함으로써 주주총회의 소집통지를 갈음할 수 있습니다. 귀사의 정관에는 이에 관한 규정이 없으므로 위 규정이 적용되지 않습니다.",
"{'model_id': {'article_type': '주주총회', 'subtitle': '총회 의결방법'}, 'q_num': 'q1'}",MC,상법 제368조 제1항,"['주주총회 의결권의 과반수 이하로 선언됨.  최소한 발행한 주식의 50%는 출석하여야 합니다.', '주주총최 결의는 출석한 주주의 과반수로 함.  최소한 발행한 주식의 50%는 출석하여야 합니다.']",주주총회의 결의는 출석한 주주의 의결권의 과반수로 하는가?,"['true', 'false']",,
"{'model_id': {'article_type': '주주총회', 'subtitle': '총회 의결방법'}, 'q_num': 'q2'}",MC,상법 제368조 제1항,"['주주총회의 결의는  발행주식총수의 4분의 1이상으로 하고 있지않음. 발행한 주식의 25%보다 적을 수 없습니다.', '주주총회의 결의는  발행주식총수의 4분의 1이상으로 하고있음. 발행한 주식의 25%보다 적을 수 없습니다. ']",주주총회의 결의는 발행주식총수의 4분의1 이상의 수로 하는가?,"['true', 'false']","1) TRUE : 상법 제368조에 따라, 주주총회의 일반결의는 출석한 주주의 의결권의 과반수와 발행주식총수의 4분의 1 이상의 수로써 함이 원칙입니다. 다만, 의결정족수는 정관으로 가중할  수 있습니다. 
다만, 주주총회 특별결의 사항(정관의 변경, 영업의 전부 또는 중요한 일부의 양도, 영업 전부의 임대 또는 경영 위임, 회사의 영업에 중대한 영향을 미치는 다른 회사와의 영업 전부 또는 일부의 양수, 주식매수선택권의 부여, 이사 또는 감사의 해임, 자본금의 감소, 합병 및 분할, 사후설립, 임의 해산, 주주 외의 자에 대한 전환사채 및 신주인수권부 사채의 발행, 주식의 포괄적 교환, 주식의 포괄적 이전, 주식분할, 주식의 할인발행 등)은 출석한 주주의 의결권의 3분의 2 이상의 수와 발행주식총수의 3분의 1 이상의 수로써 하여야 합니다.

2) FALSE : 상법 제368조에 따라, 주주총회의 일반결의는 출석한 주주의 의결권의 과반수와 발행주식총수의 4분의 1 이상의 수로써 함이 원칙입니다.",
"{'model_id': {'article_type': '주주총회', 'subtitle': '총회 투표방법'}, 'q_num': 'q1'}",MC,상법 제368조의3,"['주주총회의 투표방식에 서면투표 불가함. 정관 규정이 없는 경우, 서면투표는 불가합니다. 단, 자본금 10억 미만의 회사가 서면결의로 주주총회를 갈음하는 것은 정관의 규정없이도 가능합니다.', '주주총회의 투표는 서면투표가 가능함. 정관 규정이 없는 경우, 서면투표는 불가합니다. 단, 자본금 10억 미만의 회사가 서면결의로 주주총회를 갈음하는 것은 정관의 규정없이도 가능합니다.']",주주총회의 투표는 서면투표 하는가?,"['false', 'true']","1) false: 귀사의 정관을 검토한 결과 주주총회의 서면투표에 대하여 정하고 있지 않습니다. 현재 정관이 위법한 것은 아니지만 상법 제368조의3 제1항에 의하여 정관 규정이 없는 경우 서면투표는 불가합니다.

2) true: 귀사의 정관을 검토한 결과 주주총회의 서면투표를 허용하고 있습니다. 현재 정관은 적법하며, 정관에 기재된 대로 상법 제368조의3 제1항에 의하여 귀사의 주주총회에서 서면 투표가 허용됩니다.",
"{'model_id': {'article_type': '주주총회', 'subtitle': '총회 투표방법'}, 'q_num': 'q2'}",MC,상법 제368조의4,"['주주총회의 투표방식에 전자투표 명시안됨. 정관규정이 없더라도 이사회결의로 채택이 가능합니다. (상법 제368조의4)', '주주총회의 투표는 전자투표가 가능함. 정관 규정이 없는 경우, 서면투표는 불가합니다. 단, 자본금 10억 미만의 회사가 서면결의로 주주총회를 갈음하는 것은 정관의 규정없이도 가능합니다.']",주주총회의 투표는 전자투표 방식인가?,"['false', 'true']","이사회 결의로 전자투표하기로 정하면 전자투표가 가능한 것이고, 별도의 이사회 결의가 없었다면 전자투표가 불가능함. 정관에서 확인 가능한 내용이 아님.",
"{'model_id': {'article_type': '주주총회', 'subtitle': '의결권 대리행사'}, 'q_num': 'q1'}",MC,상법 제368조 제2항,"['주주는 대리인으로 하여금 그  의결권 행사가 불가능함. 정관규정이 없는경우 의결권에 대한 대리행사를 할 수 없습니다.', '주주는 대리인으로 하여금 그  의결권 행사가 가능함. 대리행사를 위한 조건을 충족하는 경우 의결권 대리 행사가 가능합니다. ']",주주는 대리인으로 하여금 그 의결권을 행사하게 할 수 있는가?,"['true', 'false']","1) true: 귀사의 정관을 검토한 결과 대리인에 의한 의결권 행사를 허용하고 있습니다. 상법 제368조 제2항에 의해 주주는 대리인으로 하여금 그 의결권을 행사하게 할 수 있습니다. 따라서 현재 정관은 적법합니다.  

2) false: 귀사의 정관은 대리인에 의한 의결권 행사를 금지하고 있습니다. 상법 제368조 제2항에 의해 주주는 대리인으로 하여금 그 의결권을 행사하게 할 수 있습니다. 따라서 현재 정관은 위법합니다. 해당 조항을 삭제하시거나 대리인의 자격을 주주로 제한하는 것으로 변경하시기 바랍니다.",
"{'model_id': {'article_type': '주주총회', 'subtitle': '의결권 대리행사'}, 'q_num': 'q2'}",MC,상법 제368조 제2항,"['대리인에 대한 위임장 제출 의무화하지 않음', '대리인으로 하여 위임장을 회사에 제출하도록함. 주주총회에서 주주권리 대리행사를 위해서는 위임장을 제출하여야 합니다. ']",대리인은 위임장을 이 회사에 제출하여야 하는가?,"['true', 'false']","1) TRUE : 상법 제386조 제2항은 주주는 대리인으로 하여금 그 의결권을 행사하게 할 수 있으며, 이 경우 그 대리인은 대리권을 증명하는 서면을 총회에 제출하여야 한다고 규정하고 있습니다. 따라서 주주의 의결권을 대리 행사하고자 하는 대리인은 대리권을 증명하는 서면(위임장)을 주주총회에 제출하여야 합니다.

2) FALSE : 상법 제386조 제2항은 주주는 대리인으로 하여금 그 의결권을 행사하게 할 수 있으며, 이 경우 그 대리인은 대리권을 증명하는 서면을 총회에 제출하여야 한다고 규정하고 있습니다. 따라서 주주의 의결권을 대리 행사하고자 하는 대리인은 대리권을 증명하는 서면(위임장)을 주주총회에 제출하여야 합니다.",
"{'model_id': {'article_type': '주주총회', 'subtitle': '주주총회 소집지'}, 'q_num': 'q1'}",MC,상법 제364조,"['본점소재지 또는 인접지역', '명시안됨', '그외의 지역', '소집지를 이사회 결의로 규정']",주주총회 소집지는 어디인가?,"['본점소재지 또는 인접지역', 'N/D', '그외의 지역', '소집지를 이사회 결의로 규정', '대표이사', '에서 개최', '개별통지']","1) 본점소재지 또는 인접지역: 귀사의 정관을 검토한 결과 본점소재지 또는 인접지역에서 주주총회를 소집하도록 정하고 있습니다. 상법 제364조에 의해 주주총회 장소는 정관으로 정할 수 있으므로 현재 정관은 적법하며, 귀사의 주주총회를 본점소재지 또는 인접지역에서 개최할 수 있습니다.

2) N/D: 귀사의 정관을 검토한 결과 주주총회 소집지에 대하여 정하고 있는 규정이 없습니다. 현재 정관은 적법합니다. 상법 제364조에 의해 총회는 정관에 다른 정함이 없으면 본점소재지 또는 이에 인접한 지역에 소집하여야 합니다.

3) 그외의 지역: 귀사의 정관을 검토한 결과 본점소재지 또는 인접지역이 아닌 지역에서 주주총회를 소집하도록 정하고 있습니다. 상법 제364조에 의해 주주총회 장소는 정관으로 정할 수 있으므로 현재 정관은 적법하며, 귀사의 주주총회를 본점소재지 또는 인접지역이 아닌 지역에서 개최할 수 있습니다.

4) 소집지를 이사회 결의로 규정: 귀사의 정관을 검토한 결과 주주총회를 소집지를 이사회 결의로 정하도록 하고 있습니다. 상법 제364조에 의해 주주총회 장소는 정관으로 정할 수 있으므로 현재 정관은 적법하며, 귀사의 주주총회 장소를 이사회 결의로 정할 수 있습니다.

5) 대표이사

6) 에서 개최

7) 개별통지",
